ImageNumber,ObjectNumber,Metadata_C,Metadata_ChannelName,Metadata_ColorFormat,Metadata_FileLocation,Metadata_FileLocation,Metadata_Frame,Metadata_Plate,Metadata_Series,Metadata_Series,Metadata_Site,Metadata_SizeC,Metadata_SizeT,Metadata_SizeX,Metadata_SizeY,Metadata_SizeZ,Metadata_T,Metadata_TifNum,Metadata_Well,Metadata_Z,AreaShape_Area,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Center_Z,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Intensity_IntegratedIntensityEdge_YFP,Intensity_IntegratedIntensity_YFP,Intensity_LowerQuartileIntensity_YFP,Intensity_MADIntensity_YFP,Intensity_MassDisplacement_YFP,Intensity_MaxIntensityEdge_YFP,Intensity_MaxIntensity_YFP,Intensity_MeanIntensityEdge_YFP,Intensity_MeanIntensity_YFP,Intensity_MedianIntensity_YFP,Intensity_MinIntensityEdge_YFP,Intensity_MinIntensity_YFP,Intensity_StdIntensityEdge_YFP,Intensity_StdIntensity_YFP,Intensity_UpperQuartileIntensity_YFP,Location_CenterMassIntensity_X_YFP,Location_CenterMassIntensity_Y_YFP,Location_CenterMassIntensity_Z_YFP,Location_Center_X,Location_Center_Y,Location_MaxIntensity_X_YFP,Location_MaxIntensity_Y_YFP,Location_MaxIntensity_Z_YFP,Number_Object_Number,Parent_Trans_1,TrackObjects_Displacement_1500,TrackObjects_DistanceTraveled_1500,TrackObjects_FinalAge_1500,TrackObjects_IntegratedDistance_1500,TrackObjects_Label_1500,TrackObjects_Lifetime_1500,TrackObjects_Linearity_1500,TrackObjects_ParentImageNumber_1500,TrackObjects_ParentObjectNumber_1500,TrackObjects_TrajectoryX_1500,TrackObjects_TrajectoryY_1500
11,1,0,nan,monochrome,nan,nan,10,nan,0,0,nan,1,1,494,442,161,0,nan,nan,10,22897,186.0,121.0,1.0,1.2743253352225683,0.85887796878033829,1.0,0.58867235705470999,0.53423947690119511,242.1198349868763,237.26145915424192,56.938563381947034,21.572913216080337,19.697715603592208,131.34490953713333,124.00900381891184,60.168992878973036,733.88199999999733,0.88080629339693395,2.0895551990251988,77.685389468446374,0.0033569848164916039,3.0518043786287308e-05,0.21867728276216578,0.0034943160135298967,0.0036469062324613333,0.003364823186836069,0.0033928195601365409,0.0033875028602778912,0.0032349126413464546,0.0032043945975601673,4.3077003674345578e-05,5.8454095392450415e-05,0.0034332799259573221,207.95907534542553,160.11997320035388,0.0,208.154911123728,160.21727737258155,167.0,152.0,0.0,1,1,8.7347800755872242,1.4170915983965364,nan,29.223188949261296,1,11,0.29889893573055865,10.0,1,-0.838148675486309,-1.1426527889199747
12,1,0,nan,monochrome,nan,nan,11,nan,0,0,nan,1,1,494,442,161,0,nan,nan,11,23322,188.0,123.0,1.0,1.2646019662335113,0.85354687144656138,1.0,0.58303542411439713,0.49009174593085553,242.54669003876572,236.92192806914264,57.870545184921149,21.797581233948343,19.798989873223331,136.2992442996665,126.37072161676433,59.306794865452531,773.30199999999695,0.87609173381416583,2.1661707479506731,79.167666114168242,0.0033569848164916039,3.0518043786287308e-05,0.19876936461631137,0.0034790569916367531,0.0036926832981407642,0.0033688503078548571,0.0033945487571463958,0.0033875028602778912,0.0032654306851327419,0.0031891355756670237,4.4412760830542896e-05,5.7899053080842262e-05,0.0034332799259573221,209.80516042683345,159.66632274871716,0.0,209.99056684675415,159.73797272961153,166.0,154.0,0.0,1,1,9.6638990497277835,1.8971992183877995,nan,31.120388167649097,1,12,0.31053272850156149,11.0,1,1.8356557230261501,-0.47930464297002118
13,1,0,nan,monochrome,nan,nan,12,nan,0,0,nan,1,1,494,442,161,0,nan,nan,12,23217,187.0,121.0,1.0,1.2863397552151761,0.86073653781064574,1.0,0.57840059790732434,0.470977633253158,245.26172192378507,234.16447211308551,57.008771254956898,21.626775574716497,19.798989873223331,135.69416930545341,124.85065057982243,60.197380801293058,787.05999999999699,0.86530505758264686,2.2312352173030376,78.868879206478596,0.0033569848164916039,3.0518043786287308e-05,0.20384862684239466,0.003524834057316184,0.0036621652543544769,0.0033704459475876703,0.0033970314513709176,0.0033875028602778912,0.0032501716632395983,0.003219653619453311,4.4407426756522255e-05,5.7336851258920268e-05,0.0034332799259573221,211.32723705431491,160.94178872251905,0.0,211.52030839471078,161.00719300512554,172.0,132.0,0.0,1,1,11.651176590254527,1.9877196259333529,nan,33.108107793582448,1,13,0.35191309219166395,12.0,1,1.5297415479566325,1.2692202755140158
14,1,0,nan,monochrome,nan,nan,13,nan,0,0,nan,1,1,494,442,161,0,nan,nan,13,23005,189.0,123.0,1.0,1.2964780244550493,0.86367038389015138,1.0,0.56488643339472067,0.48507484343608243,245.59340042664243,231.89868477419185,56.320511361314892,21.244465469668082,19.235384061671343,131.69838570149631,123.79307476855863,59.438699890449428,771.98999999999705,0.87921117502054236,2.1869535357691348,78.280353991081938,0.0033569848164916039,4.5777065679430962e-05,0.18737633443658658,0.0035400930792093277,0.0036774242762476206,0.0033801445684221556,0.0034027539226725466,0.0034027618821710348,0.0032501716632395983,0.0031891355756670237,4.4479405687659646e-05,5.8011663141909113e-05,0.0034332799259573221,210.52733249215464,160.6307688169224,0.0,210.71114975005435,160.66711584438167,172.0,114.0,0.0,1,1,10.819748374038722,0.87771874053244048,nan,33.985826534114892,1,14,0.31836060727191334,13.0,1,-0.80915864465643494,-0.34007716074387417
15,1,0,nan,monochrome,nan,nan,14,nan,0,0,nan,1,1,494,442,161,0,nan,nan,14,23181,185.0,126.0,1.0,1.2584222548112749,0.845436784649365,1.0,0.57519664524453484,0.49398080514072124,239.925268965816,226.61200321253946,57.008771254956898,21.47240360524901,19.646882704388499,138.16639131315176,128.13820876306414,54.438750682303485,767.91999999999712,0.86583498300526662,2.1747158002108335,78.859662757255137,0.0033569848164916039,4.5777065679430962e-05,0.18063817740605265,0.003524834057316184,0.0036926832981407642,0.0033768878885261392,0.0034019094412344221,0.0034027618821710348,0.003219653619453311,0.0031891355756670237,4.5357924034371215e-05,5.8585635354946412e-05,0.0034332799259573221,210.50782245899242,159.25014067152367,0.0,210.68793408394805,159.26392304042105,155.0,126.0,0.0,1,1,9.9126596028001668,1.4033848411036902,nan,35.389211375218579,1,15,0.28010399829767163,14.0,1,-0.023215666106295885,-1.4031928039606214
16,1,0,nan,monochrome,nan,nan,15,nan,0,0,nan,1,1,494,442,161,0,nan,nan,15,23997,190.0,126.0,1.0,1.2681926444934821,0.84937500990361037,1.0,0.56450247000705711,0.4593114758564748,245.69359774750626,231.60742647851342,55.542776307995261,21.717194758519014,19.798989873223331,140.87607978848101,129.67457937084092,55.575009236656953,810.26999999999691,0.87290385944490889,2.2922865638975054,81.677042782539502,0.0033569848164916039,4.5777065679430962e-05,0.16969432707202922,0.0035400930792093277,0.0036469062324613333,0.0033759743209094335,0.0034036355703854441,0.0034027618821710348,0.0032349126413464546,0.0031891355756670237,4.6211043509378543e-05,5.8455644273805715e-05,0.0034332799259573221,212.62100414650163,159.06455969458432,0.0,212.79039046547484,159.05434012584905,183.0,163.0,0.0,1,1,11.569877462449231,2.1128766727623329,nan,37.502088047980912,1,16,0.30851288727301002,15.0,1,2.1024563815267925,-0.20958291457199607
17,1,0,nan,monochrome,nan,nan,16,nan,0,0,nan,1,1,494,442,161,0,nan,nan,16,24535,193.0,135.0,1.0,1.286034634077913,0.85327995021050362,1.0,0.56251003049269777,0.50131050751897754,250.82473792327579,236.40008460235373,55.946402922797461,21.824437873167167,20.0,138.67083327073505,130.79333499886079,54.51730057874871,784.23199999999702,0.88044784956847832,2.2298313872888684,83.534645589767024,0.0033569848164916039,3.0518043786287308e-05,0.17428881940372903,0.0035095750354230404,0.0036926832981407642,0.0033785324049831339,0.0034047134945900562,0.0034027618821710348,0.0032349126413464546,0.003219653619453311,4.6556133477415169e-05,5.7635053972238645e-05,0.0034332799259573221,214.88064155567972,158.58363307463426,0.0,215.0523334012635,158.55365803953535,168.0,159.0,0.0,1,1,13.387304166058509,2.3166934187154831,nan,39.818781466696393,1,17,0.33620577207404939,16.0,1,2.2619429357886531,-0.50068208631370226
18,1,0,nan,monochrome,nan,nan,17,nan,0,0,nan,1,1,494,442,161,0,nan,nan,17,24712,192.0,129.0,1.0,1.2689314905060938,0.84543887832045939,1.0,0.5716136195410807,0.46406778450802,248.74998346477221,233.52944139872386,57.070132293521098,22.19975193010265,20.248456731316587,143.09438828735148,132.85044817366042,56.390656372420864,818.02799999999684,0.86896284965803394,2.3308766302652657,84.221683050505817,0.0033722438383847475,3.0518043786287308e-05,0.15729982194903425,0.003524834057316184,0.0036469062324613333,0.0033780820728482111,0.0034081289677284645,0.0034027618821710348,0.0032043945975601673,0.0032043945975601673,4.4661397760785434e-05,5.7969288484243425e-05,0.0034485389478504658,213.5914836357417,156.3041302168977,0.0,213.74441566850112,156.26731952088053,170.0,123.0,0.0,1,1,11.413164889490968,2.6340069509321675,nan,42.452788417628561,1,18,0.26884370414527686,17.0,1,-1.3079177327623768,-2.2863385186548157
19,1,0,nan,monochrome,nan,nan,18,nan,0,0,nan,1,1,494,442,161,0,nan,nan,18,24937,197.0,133.0,1.0,1.2541247466363699,0.8422266731337823,1.0,0.57469118731563418,0.48745792088162454,247.89569966002406,232.59406699226014,57.008771254956898,22.480450604752601,20.518284528683193,143.36408966028833,133.64641627413707,58.2519342578289,801.78599999999676,0.87892993091780636,2.2809948876965791,84.995345978531986,0.0033722438383847475,3.0518043786287308e-05,0.16969446958027656,0.0035400930792093277,0.0036774242762476206,0.0033792516854764137,0.0034084030147384201,0.0034027618821710348,0.0032349126413464546,0.003219653619453311,4.5477041950982291e-05,5.7334483481001359e-05,0.0034485389478504658,215.81932598107417,158.46005094997102,0.0,215.98544331715925,158.42539198780929,174.0,134.0,0.0,1,1,14.207031789317606,3.1111865412678443,nan,45.563974958896402,1,19,0.31180404699400949,18.0,1,2.2410276486581324,2.1580724669287576
20,1,0,nan,monochrome,nan,nan,19,nan,0,0,nan,1,1,494,442,161,0,nan,nan,19,25254,199.0,133.0,1.0,1.2477975847341882,0.83680272087884044,1.0,0.56991334175844011,0.56684912980740254,247.96276952529144,235.16164653276266,58.412327466040935,23.060820928230481,21.095023109728988,140.76838053979151,135.76073867142236,60.9818048410974,748.23199999999713,0.89883081522609587,2.1018692296929657,86.156374436337501,0.0033722438383847475,3.0518043786287308e-05,0.17775894983622681,0.0035095750354230404,0.0036774242762476206,0.0033792109802137714,0.003411593190636632,0.0034027618821710348,0.0032349126413464546,0.0032349126413464546,4.3814655345956543e-05,5.7412950169004266e-05,0.0034485389478504658,217.08790069458391,154.07256133177052,0.0,217.25172249940604,154.00356379187454,176.0,113.0,0.0,1,1,14.566216402707266,4.5995681929671584,nan,50.163543151863564,1,20,0.29037455266287615,19.0,1,1.2662791822467909,-4.4218281959347507
21,1,0,nan,monochrome,nan,nan,20,nan,0,0,nan,1,1,494,442,161,0,nan,nan,20,25601,200.0,133.0,1.0,1.2503599883232623,0.84243613264175876,1.0,0.58194671758501548,0.56969036612643587,250.83006236772039,238.20159529272678,59.076221950967721,23.179552831076396,21.095023109728988,139.96159568654468,135.14628847293872,62.789867465988905,751.47399999999709,0.90074590106255747,2.1224536502268165,87.430319656152278,0.0033722438383847475,4.5777065679430962e-05,0.18434948441325938,0.0035400930792093277,0.0036621652543544769,0.0033850935410316054,0.0034151134586989681,0.0034180209040641785,0.0032501716632395983,0.003219653619453311,4.6876721556274064e-05,5.9463809654797928e-05,0.0034485389478504658,216.902404574304,154.67553692606967,0.0,217.07808288738721,154.61966329440256,179.0,121.0,0.0,1,1,14.431839973005648,0.64010101693195187,nan,50.803644168795515,1,21,0.28407096004876625,20.0,1,-0.17363961201883171,0.61609950252801582
22,1,0,nan,monochrome,nan,nan,21,nan,0,0,nan,1,1,494,442,161,0,nan,nan,21,26617,198.0,136.0,1.0,1.2647753081649873,0.84897915023216486,1.0,0.58194499103590014,0.48476442203201081,258.33603691583335,252.03372790164414,58.821764679410968,23.203478729455508,21.095023109728988,144.80022244052014,136.51156786235316,62.10756409964165,830.65199999999663,0.88764756886547069,2.3537804221268743,90.973357726586983,0.0033722438383847475,4.5777065679430962e-05,0.20005850001693906,0.0035553521011024714,0.0037384603638201952,0.0033818684225960837,0.0034178666914598558,0.0034180209040641785,0.0032349126413464546,0.0032349126413464546,4.7010483101433612e-05,6.2760541095939501e-05,0.0034637979697436094,215.92656097286471,156.11103820418157,0.0,216.10711199609273,156.02487132283878,173.0,164.0,0.0,1,1,13.664092615317296,1.7080380777145503,nan,52.511682246510063,1,22,0.26021052898615554,21.0,1,-0.97097089129448477,1.4052080284362205
