ImageNumber,ObjectNumber,Metadata_C,Metadata_ChannelName,Metadata_ColorFormat,Metadata_FileLocation,Metadata_FileLocation,Metadata_Frame,Metadata_Plate,Metadata_Series,Metadata_Series,Metadata_Site,Metadata_SizeC,Metadata_SizeT,Metadata_SizeX,Metadata_SizeY,Metadata_SizeZ,Metadata_T,Metadata_TifNum,Metadata_Well,Metadata_Z,AreaShape_Area,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Center_Z,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Intensity_IntegratedIntensityEdge_YFP,Intensity_IntegratedIntensity_YFP,Intensity_LowerQuartileIntensity_YFP,Intensity_MADIntensity_YFP,Intensity_MassDisplacement_YFP,Intensity_MaxIntensityEdge_YFP,Intensity_MaxIntensity_YFP,Intensity_MeanIntensityEdge_YFP,Intensity_MeanIntensity_YFP,Intensity_MedianIntensity_YFP,Intensity_MinIntensityEdge_YFP,Intensity_MinIntensity_YFP,Intensity_StdIntensityEdge_YFP,Intensity_StdIntensity_YFP,Intensity_UpperQuartileIntensity_YFP,Location_CenterMassIntensity_X_YFP,Location_CenterMassIntensity_Y_YFP,Location_CenterMassIntensity_Z_YFP,Location_Center_X,Location_Center_Y,Location_MaxIntensity_X_YFP,Location_MaxIntensity_Y_YFP,Location_MaxIntensity_Z_YFP,Number_Object_Number,TrackObjects_Displacement_1500,TrackObjects_DistanceTraveled_1500,TrackObjects_FinalAge_1500,TrackObjects_IntegratedDistance_1500,TrackObjects_Label_1500,TrackObjects_Lifetime_1500,TrackObjects_Linearity_1500,TrackObjects_ParentImageNumber_1500,TrackObjects_ParentObjectNumber_1500,TrackObjects_TrajectoryX_1500,TrackObjects_TrajectoryY_1500
1,1,0,nan,monochrome,nan,nan,0,nan,0,0,nan,1,1,693,564,161,0,nan,nan,0,9889,166.0,232.0,1.0,1.1309349083792868,0.78459261816098891,1.0,0.70565149136577709,0.77522988617125366,143.17995222759029,145.60219778561037,45.221676218380054,16.831711484340083,15.0,91.17832507693457,88.773235817054044,-68.182345049289083,400.37399999999883,0.96936724991422851,1.1264515141956508,32.708781559485942,0.0032806897070258856,3.0518043786287308e-05,0.044231385868284213,0.0034180209040641785,0.0035095750354230404,0.0033033768744740494,0.0033075924319431634,0.0033112077508121729,0.0031891355756670237,0.0031586175318807364,3.8343411094246272e-05,4.187364963044446e-05,0.0033417257945984602,166.09560172982455,234.1011919368157,0.0,166.13934674891294,234.09465062190313,136.0,204.0,0.0,1,0.0,0.0,nan,0.0,1,1,nan,0.0,0,0.0,0.0
2,1,0,nan,monochrome,nan,nan,1,nan,0,0,nan,1,1,693,564,161,0,nan,nan,1,10194,167.0,237.0,1.0,1.1363429269997005,0.78846467278129284,1.0,0.70090759075907594,0.7786178170740341,146.03789733264117,147.41099009232656,45.354161881794269,17.020386900491626,15.264337522473747,91.193395013661203,89.824996227855593,-70.026177337033587,405.61599999999891,0.97317422434367562,1.1484702827874571,33.937468520365655,0.0032959487289190292,3.0518043786287308e-05,0.074513541739532813,0.0035553521011024714,0.0035553521011024714,0.0033192782739521884,0.0033291611261885086,0.0033264667727053165,0.0031891355756670237,0.0031586175318807364,4.6333845869225356e-05,4.6167619174632024e-05,0.0033569848164916039,171.90245907093771,231.4432496497447,0.0,171.97557386698057,231.42887973317639,141.0,290.0,0.0,1,6.4162201805152312,6.4162201805152312,nan,6.4162201805152312,1,2,1.0,1.0,1,5.836227118067626,-2.6657708887267404
3,1,0,nan,monochrome,nan,nan,2,nan,0,0,nan,1,1,693,564,161,0,nan,nan,2,11442,169.0,240.0,1.0,1.1564720290089927,0.8040536903920722,1.0,0.67266313932980604,0.74187853868762299,157.50032581388592,162.92943257741985,47.169905660283021,17.657355386657034,16.0,94.868329805051374,93.642873097533766,-73.178128930032699,440.23999999999876,0.96663005829179671,1.2420080869924277,38.19728388520889,0.0033112077508121729,3.0518043786287308e-05,0.099455396249761546,0.0034790569916367531,0.003616388188675046,0.0033208772379476675,0.0033383397907017034,0.0033417257945984602,0.003219653619453311,0.00317387655377388,4.6215704457110508e-05,5.0182770017886708e-05,0.0033722438383847475,173.95478973610003,234.49240370253338,0.0,174.05278797413041,234.47544135640624,159.0,295.0,0.0,1,7.9225976553435276,3.6873237138986328,nan,10.103543894413864,1,3,0.78414046973397555,2.0,1,2.0772141071498424,3.0465616232298487
4,1,0,nan,monochrome,nan,nan,3,nan,0,0,nan,1,1,693,564,161,0,nan,nan,3,11934,175.0,233.0,1.0,1.1693614972219633,0.81563231785158963,1.0,0.66226415094339619,0.72209127300828102,162.87374422061953,170.69563556224864,47.265209192385896,17.856488544546561,16.124515496597098,95.184557571068225,94.233957509884291,-73.354426190830253,455.72399999999863,0.9651435503437118,1.2863813226576895,39.971999685512856,0.0033112077508121729,3.0518043786287308e-05,0.13041351206462914,0.0035553521011024714,0.0036011291667819023,0.0033325941001494546,0.003349421793657856,0.0033417257945984602,0.0031891355756670237,0.0031891355756670237,5.7393082615954684e-05,5.3228693818999153e-05,0.0033875028602778912,177.95738719978317,232.70209137776692,0.0,178.08714596949892,232.68903971845148,148.0,297.0,0.0,1,12.03019734781342,4.4121735286456314,nan,14.515717423059495,1,4,0.82877042843934068,3.0,1,4.0343579953685094,-1.7864016379547536
5,1,0,nan,monochrome,nan,nan,4,nan,0,0,nan,1,1,693,564,161,0,nan,nan,4,12852,171.0,242.0,1.0,1.20329496038041,0.83351183090795133,1.0,0.65504587155963301,0.71320582113005604,173.37613261262754,179.71366113904642,47.518417482066887,18.07542434450913,16.401219466856727,97.26889450301077,95.790592197550069,-75.650971850012226,475.8639999999985,0.9610409033126448,1.3431906611658633,43.194720368366688,0.0033112077508121729,4.5777065679430962e-05,0.1666700575013563,0.0036316472105681896,0.0036621652543544769,0.0033412703014076201,0.0033609337354782672,0.0033569848164916039,0.0032349126413464546,0.0031891355756670237,5.8752147844306814e-05,6.3691749786614358e-05,0.0034027618821710348,177.54454977910572,233.94097675328868,0.0,177.70852785558668,233.91114223467164,157.0,299.0,0.0,1,11.570636404589028,1.2794085494220018,nan,15.795125972481497,1,5,0.73254473720232194,4.0,1,-0.3786181139122391,1.2221025162201613
6,1,0,nan,monochrome,nan,nan,5,nan,0,0,nan,1,1,693,564,161,0,nan,nan,5,6667,165.0,279.0,1.0,1.1226761874370756,0.74118310447474167,1.0,0.59564013222549805,0.71515070976516415,114.44847254279804,127.20062892926276,38.470768123342687,13.714651952068479,12.083045973594572,78.48885271170677,76.829593401816965,61.414951678821048,342.27199999999885,0.94587500886713483,0.92797741643153131,22.520012201974168,0.0033264667727053165,4.5777065679430962e-05,0.15733310849859408,0.0036316472105681896,0.0037079423200339079,0.0033622370160562728,0.003377832938649193,0.0033722438383847475,0.0032349126413464546,0.0032043945975601673,7.4154814284489509e-05,7.2407403511266541e-05,0.0034180209040641785,160.20087691898019,272.82132386172299,0.0,160.35818209089547,272.8183590820459,146.0,311.0,0.0,1,39.1528729687777,42.600540148722779,nan,58.395666121204272,1,6,0.67047566316844787,5.0,1,-17.350345764691212,38.907216847374258
7,1,0,nan,monochrome,nan,nan,6,nan,0,0,nan,1,1,693,564,161,0,nan,nan,6,13775,171.0,241.0,1.0,1.2258068627244156,0.84627208210195581,1.0,0.66703791583942662,0.68973929368296216,182.66563659851647,192.93781381574738,48.703182647543684,18.48794049138121,16.763054614240211,98.346835231236597,97.315289429368022,-77.860253058957767,500.96599999999853,0.96113591962042988,1.4462653540540487,46.673884173156694,0.0033264667727053165,4.5777065679430962e-05,0.26450821060674912,0.003570611122995615,0.0037537193857133389,0.0033556040697309713,0.003388303751227346,0.0033722438383847475,0.0032043945975601673,0.0031586175318807364,6.4485502986648185e-05,8.0353576843266182e-05,0.0034332799259573221,174.73271439233969,238.74476399523599,0.0,174.99593466424682,238.71869328493648,185.0,184.0,0.0,1,9.9910419902826249,37.108637914550407,nan,95.504304035754672,1,7,0.10461352596781609,6.0,1,14.637752573351349,-34.099665797109424
8,1,0,nan,monochrome,nan,nan,7,nan,0,0,nan,1,1,693,564,161,0,nan,nan,7,12934,171.0,242.0,1.0,1.141126526762249,0.78345999508591213,1.0,0.64515163607342374,0.69233980837841103,164.36091743582773,178.80995498014084,50.990195135927848,18.58725063670326,16.552945357246848,104.48794153875987,102.14081384914678,-79.531000343096125,484.51999999999845,0.95071483700246218,1.372793163638562,44.178210106445476,0.0033417257945984602,7.6295109465718269e-05,0.34240273916028113,0.0036621652543544769,0.0038452735170722008,0.0033646891265651027,0.0034156649224095777,0.0034027618821710348,0.0032043945975601673,0.00317387655377388,8.3426715899738197e-05,0.00010304481654581177,0.0034790569916367531,176.13951448923208,238.92685976432179,0.0,176.4796659965981,238.88766042987476,159.0,199.0,0.0,1,11.397155134653577,1.4933213192978618,nan,96.997625355052534,1,8,0.11749932117343229,7.0,1,1.4837313323512831,0.16896714493827858
9,1,0,nan,monochrome,nan,nan,8,nan,0,0,nan,1,1,693,564,161,0,nan,nan,8,11578,176.0,233.0,1.0,1.0735578251175788,0.70087893488052655,1.0,0.7292768959435626,0.81887837404952724,144.58567582948888,146.76852523616907,50.990195135927848,18.773527571024619,17.0,105.9062235036052,103.13010736701483,-89.707761903585535,421.51399999999882,0.9752769237248875,1.2101167312357575,39.88426030962728,0.0033569848164916039,7.6295109465718269e-05,0.44147657418054109,0.0037232013419270515,0.00396734569221735,0.0033707986942500207,0.0034448316038717636,0.0034332799259573221,0.0031891355756670237,0.00317387655377388,8.7832992143528339e-05,0.00011513477483234274,0.003524834057316184,176.39951412016535,245.55173912461288,0.0,176.81421661772328,245.70314389359129,153.0,207.0,0.0,1,15.770540978510029,6.823689541757358,nan,103.82131489680989,1,9,0.15190080181689752,8.0,1,0.33455062112517453,6.8154834637165322
10,1,0,nan,monochrome,nan,nan,9,nan,0,0,nan,1,1,693,564,161,0,nan,nan,9,11021,177.0,244.0,1.0,1.0570878480323866,0.66798122683270444,1.0,0.70706357862321167,0.81426970925864195,137.93903088806576,142.03168660548954,50.566787519082126,18.578003004099617,16.643316977093239,103.49013780258684,102.65120926592269,-86.649477935715367,412.41199999999878,0.97781918197143114,1.1705806055106223,38.286106661893427,0.0033569848164916039,9.1554131358861923e-05,0.56660826134437181,0.0037384603638201952,0.0041199359111487865,0.0033831809407821453,0.0034739231160415053,0.0034637979697436094,0.0031891355756670237,0.0031891355756670237,8.7703388715609597e-05,0.00013569145665838915,0.0035553521011024714,178.496532592058,251.75087999313487,0.0,178.95662825514927,252.08157154523184,183.0,216.0,0.0,1,22.086467112514576,6.7286155285757792,nan,110.54993042538567,1,10,0.19978725475021053,9.0,1,2.1424116374259938,6.3784276516405498
