ImageNumber,ObjectNumber,Metadata_C,Metadata_ChannelName,Metadata_ColorFormat,Metadata_FileLocation,Metadata_FileLocation,Metadata_Frame,Metadata_Plate,Metadata_Series,Metadata_Series,Metadata_Site,Metadata_SizeC,Metadata_SizeT,Metadata_SizeX,Metadata_SizeY,Metadata_SizeZ,Metadata_T,Metadata_TifNum,Metadata_Well,Metadata_Z,AreaShape_Area,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Center_Z,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Intensity_IntegratedIntensityEdge_YFP,Intensity_IntegratedIntensity_YFP,Intensity_LowerQuartileIntensity_YFP,Intensity_MADIntensity_YFP,Intensity_MassDisplacement_YFP,Intensity_MaxIntensityEdge_YFP,Intensity_MaxIntensity_YFP,Intensity_MeanIntensityEdge_YFP,Intensity_MeanIntensity_YFP,Intensity_MedianIntensity_YFP,Intensity_MinIntensityEdge_YFP,Intensity_MinIntensity_YFP,Intensity_StdIntensityEdge_YFP,Intensity_StdIntensity_YFP,Intensity_UpperQuartileIntensity_YFP,Location_CenterMassIntensity_X_YFP,Location_CenterMassIntensity_Y_YFP,Location_CenterMassIntensity_Z_YFP,Location_Center_X,Location_Center_Y,Location_MaxIntensity_X_YFP,Location_MaxIntensity_Y_YFP,Location_MaxIntensity_Z_YFP,Number_Object_Number,TrackObjects_Displacement_1500,TrackObjects_DistanceTraveled_1500,TrackObjects_FinalAge_1500,TrackObjects_IntegratedDistance_1500,TrackObjects_Label_1500,TrackObjects_Lifetime_1500,TrackObjects_Linearity_1500,TrackObjects_ParentImageNumber_1500,TrackObjects_ParentObjectNumber_1500,TrackObjects_TrajectoryX_1500,TrackObjects_TrajectoryY_1500
1,1,0,nan,monochrome,nan,nan,0,nan,0,0,nan,1,1,336,533,161,0,nan,nan,0,8571,172.0,82.0,1.0,1.0809272642264911,0.71037312016537246,1.0,0.72237673830594185,0.73800629113255634,125.400030064253,127.80062597655773,40.36087214122113,15.422049365146012,14.0,93.177028395896244,88.259711751206254,37.999311066240779,382.02399999999909,0.93759229885686157,1.1089341570623219,28.661402297439054,0.0033112077508121729,3.0518043786287308e-05,0.13253369698793799,0.0034790569916367531,0.0035553521011024714,0.0033401631236816927,0.0033439974679079516,0.0033417257945984602,0.0032043945975601673,0.0031891355756670237,4.4554402133964475e-05,4.9133077463565976e-05,0.0033722438383847475,166.07178896090932,84.017407530645656,0.0,166.20219344300548,84.041068720102672,126.0,82.0,0.0,1,0.0,0.0,nan,0.0,1,1,nan,0.0,0,0.0,0.0
2,1,0,nan,monochrome,nan,nan,1,nan,0,0,nan,1,1,336,533,161,0,nan,nan,1,8071,168.0,90.0,1.0,1.0575881604001063,0.65468366302665482,1.0,0.7199179377397199,0.74047964150293866,117.42371606141842,128.03515142334936,44.283179650969061,15.445448700036698,13.45362404707371,92.409618236751285,88.7609358211038,39.409290678935434,370.09399999999914,0.94078563935190607,1.0680704964324832,27.107438766863197,0.0033264667727053165,3.0518043786287308e-05,0.1306641560557264,0.0034943160135298967,0.0035553521011024714,0.0033481833743964988,0.0033586220749427824,0.0033569848164916039,0.003219653619453311,0.0031891355756670237,4.7582037457457478e-05,4.947683912410184e-05,0.0033875028602778912,167.77745391745276,90.844061253508329,0.0,167.90484450501796,90.873126006690626,145.0,64.0,0.0,1,7.041024599175306,7.041024599175306,nan,7.041024599175306,1,2,1.0,1.0,1,1.7026510620124782,6.8320572865879541
3,1,0,nan,monochrome,nan,nan,2,nan,0,0,nan,1,1,336,533,161,0,nan,nan,2,8190,164.0,87.0,1.0,1.0486750354408652,0.61695510812489551,1.0,0.68421052631578949,0.70101025138497408,116.0286886731608,124.08464852672147,43.965895873961216,15.278235161986464,13.341664064126334,94.599999999999994,91.314385923346066,35.979046736308739,383.16399999999896,0.930576070901034,1.1016250855755061,27.599694813136011,0.0033417257945984602,3.0518043786287308e-05,0.15348044517174356,0.003570611122995615,0.0035858701448887587,0.003358613065778982,0.0033699261066100134,0.0033722438383847475,0.0032349126413464546,0.0031891355756670237,5.1410492274711796e-05,5.1481482849750367e-05,0.0034027618821710348,164.95394267630724,89.965336205304666,0.0,165.1058608058608,89.987179487179489,151.0,116.0,0.0,1,6.0463359570582478,2.935849278076347,nan,9.9768738772516521,1,3,0.60603511996323267,2.0,1,-2.7989836991571622,-0.8859465195111369
4,1,0,nan,monochrome,nan,nan,3,nan,0,0,nan,1,1,336,533,161,0,nan,nan,3,8586,157.0,82.0,1.0,1.0596204026017593,0.6304543939108046,1.0,0.68067226890756305,0.70501541899773468,120.04165164611986,124.39051410778879,43.657759905886145,15.341200992343051,13.45362404707371,99.059336797747562,93.179486205184304,26.947174443424927,391.20199999999903,0.92268013540379368,1.1134813455864787,28.98344395449385,0.0033417257945984602,3.0518043786287308e-05,0.19546397504985091,0.0034943160135298967,0.0036011291667819023,0.0033639919806238028,0.0033756631673065281,0.0033722438383847475,0.0031891355756670237,0.0031891355756670237,4.8891924046127203e-05,5.4179988167311897e-05,0.0034180209040641785,161.9690096502635,86.584616437562843,0.0,162.16328907523877,86.60610295830422,119.0,89.0,0.0,1,4.7845740808468289,4.4822323549730436,nan,14.459106232224695,1,4,0.33090386113794179,3.0,1,-2.9425717306220349,-3.3810765288752691
5,1,0,nan,monochrome,nan,nan,4,nan,0,0,nan,1,1,336,533,161,0,nan,nan,4,9094,157.0,87.0,1.0,1.0647678939083698,0.64690513007264627,1.0,0.67362962962962958,0.70258642624639722,124.65808101582813,129.46814279968643,44.0,15.693418984006183,13.928388277184119,102.81361458611546,95.06057396085815,23.753139783304423,403.30399999999901,0.91951466127401416,1.1634546422865242,30.746593416202813,0.0033417257945984602,3.0518043786287308e-05,0.19427379674281564,0.0035858701448887587,0.0035858701448887587,0.0033625856713483358,0.0033809757440293395,0.0033722438383847475,0.0032349126413464546,0.0032043945975601673,4.6306049304599866e-05,5.3930048039426658e-05,0.0034180209040641785,160.7052141512215,89.878741107843368,0.0,160.8993842093688,89.885089069716301,121.0,72.0,0.0,1,7.8912837748392137,3.5141436266611366,nan,17.973249858885833,1,5,0.43905714530184564,4.0,1,-1.2639048658699608,3.2789861114120811
6,1,0,nan,monochrome,nan,nan,5,nan,0,0,nan,1,1,336,533,161,0,nan,nan,5,9499,150.0,89.0,1.0,1.0682969524865185,0.65079209784865655,1.0,0.66426573426573432,0.68715915796006533,127.81606960686847,133.89921583041479,45.607017003965517,16.115858735960362,14.142135623730951,105.86152057504907,97.045115375298096,16.504005896848426,416.78799999999893,0.9240721824991488,1.1926146331243217,32.134203090099618,0.0033417257945984602,3.0518043786287308e-05,0.17269999106171224,0.0035400930792093277,0.0035858701448887587,0.0033689678901816997,0.003382903788830363,0.0033875028602778912,0.0032501716632395983,0.0031891355756670237,5.1085021696937239e-05,5.3033820936034699e-05,0.0034180209040641785,159.21007732980675,92.383470842840282,0.0,159.3827771344352,92.383724602589751,119.0,73.0,0.0,1,10.77517266512192,2.9228883909373704,nan,20.896138249823203,1,6,0.51565377948306246,5.0,1,-1.5166070749336029,2.4986355328734504
7,1,0,nan,monochrome,nan,nan,6,nan,0,0,nan,1,1,336,533,161,0,nan,nan,6,9773,160.0,90.0,1.0,1.0977533516093823,0.70017004891908474,1.0,0.65445657269135471,0.67960341551711978,134.29009741383689,137.78606605894515,44.283179650969061,15.935819861404237,14.212670403551895,104.10567175397688,95.879922956711013,8.9571451573329846,425.09999999999883,0.91417613769234363,1.2185549703426659,33.077561600599438,0.0033417257945984602,3.0518043786287308e-05,0.17275235055160218,0.0035095750354230404,0.0036011291667819023,0.0033661739512228341,0.0033845862683515235,0.0033875028602778912,0.003219653619453311,0.003219653619453311,5.0815937937956917e-05,5.2691534779124596e-05,0.0034180209040641785,162.34333807867924,95.925809299832366,0.0,162.51273917937175,95.891947201473442,125.0,123.0,0.0,1,12.411905314804088,4.7015197762065855,nan,25.597658026029787,1,7,0.48488441021372541,6.0,1,3.1299620449365477,3.508222598883691
8,1,0,nan,monochrome,nan,nan,7,nan,0,0,nan,1,1,336,533,161,0,nan,nan,7,9955,164.0,88.0,1.0,1.0926366281314992,0.63414179009669513,1.0,0.6487877997914494,0.68070724083017076,131.43772154717698,136.61991070118586,44.944410108488462,16.126206817535156,14.317821063276353,108.55577802528597,101.62985192548604,3.3723223903920605,428.69199999999853,0.91430933137398951,1.1939421680290252,33.721721209818497,0.0033569848164916039,3.0518043786287308e-05,0.15856758049689215,0.0035400930792093277,0.0036011291667819023,0.003372717988782557,0.0033874154906899543,0.0033875028602778912,0.003219653619453311,0.003219653619453311,5.1629159288861476e-05,5.2648353924448628e-05,0.0034180209040641785,163.62037518444961,95.308459953673221,0.0,163.77398292315419,95.269110999497741,111.0,113.0,0.0,1,11.487608095534933,1.4066487534995622,nan,27.004306779529351,1,8,0.42539911093896804,7.0,1,1.261243743782444,-0.62283620197570144
9,1,0,nan,monochrome,nan,nan,8,nan,0,0,nan,1,1,336,533,161,0,nan,nan,8,9958,161.0,86.0,1.0,1.0725712849381039,0.59598849452587799,1.0,0.64544983147523982,0.68942874829576406,128.37436208113985,132.015150645674,44.553338819890925,16.342262531067547,14.560219778561036,107.90984445898468,103.08371064096403,-10.012674992530155,426.03599999999858,0.92067307692307709,1.1897154189646244,33.756313412450254,0.0033569848164916039,3.0518043786287308e-05,0.15204955721406951,0.0035553521011024714,0.0035858701448887587,0.0033798733493313193,0.003389868790163713,0.0033875028602778912,0.0032654306851327419,0.0032043945975601673,4.987113896963388e-05,5.2433454666056389e-05,0.0034180209040641785,163.77717541654988,92.780597770565308,0.0,163.92448282787709,92.742920265113483,182.0,87.0,0.0,1,8.9950089470592314,2.5306698417238223,nan,29.534976621253172,1,9,0.30455446308315282,8.0,1,0.1504999047228921,-2.526190734384258
10,1,0,nan,monochrome,nan,nan,9,nan,0,0,nan,1,1,336,533,161,0,nan,nan,9,9872,158.0,86.0,1.0,1.0719462821564278,0.58864293042835025,1.0,0.66689184624738229,0.68271806948822611,127.44541364685439,130.31116606031887,45.607017003965517,16.311827761569152,14.370013082566155,104.34072138246823,103.02600061203863,-3.7448173114471746,426.2719999999988,0.92158327109783422,1.2237430377863348,33.488136102678254,0.0033569848164916039,3.0518043786287308e-05,0.14406733430741378,0.0035553521011024714,0.003616388188675046,0.0033805056292440187,0.0033922342081319141,0.0033875028602778912,0.0032501716632395983,0.0032043945975601673,5.0391153219922826e-05,5.1616681167328829e-05,0.0034332799259573221,165.7417555003201,89.600010480054863,0.0,165.88361021069693,89.574858184764992,125.0,119.0,0.0,1,5.5429523825409008,3.7248889174117048,nan,33.259865538664876,1,10,0.16665588669013626,9.0,1,1.9591273828198439,-3.1680620803484913
