ImageNumber,ObjectNumber,Metadata_C,Metadata_ChannelName,Metadata_ColorFormat,Metadata_FileLocation,Metadata_FileLocation,Metadata_Frame,Metadata_Plate,Metadata_Series,Metadata_Series,Metadata_Site,Metadata_SizeC,Metadata_SizeT,Metadata_SizeX,Metadata_SizeY,Metadata_SizeZ,Metadata_T,Metadata_TifNum,Metadata_Well,Metadata_Z,AreaShape_Area,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Center_Z,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Intensity_IntegratedIntensityEdge_YFP,Intensity_IntegratedIntensity_YFP,Intensity_LowerQuartileIntensity_YFP,Intensity_MADIntensity_YFP,Intensity_MassDisplacement_YFP,Intensity_MaxIntensityEdge_YFP,Intensity_MaxIntensity_YFP,Intensity_MeanIntensityEdge_YFP,Intensity_MeanIntensity_YFP,Intensity_MedianIntensity_YFP,Intensity_MinIntensityEdge_YFP,Intensity_MinIntensity_YFP,Intensity_StdIntensityEdge_YFP,Intensity_StdIntensity_YFP,Intensity_UpperQuartileIntensity_YFP,Location_CenterMassIntensity_X_YFP,Location_CenterMassIntensity_Y_YFP,Location_CenterMassIntensity_Z_YFP,Location_Center_X,Location_Center_Y,Location_MaxIntensity_X_YFP,Location_MaxIntensity_Y_YFP,Location_MaxIntensity_Z_YFP,Number_Object_Number,TrackObjects_Displacement_1500,TrackObjects_DistanceTraveled_1500,TrackObjects_FinalAge_1500,TrackObjects_IntegratedDistance_1500,TrackObjects_Label_1500,TrackObjects_Lifetime_1500,TrackObjects_Linearity_1500,TrackObjects_ParentImageNumber_1500,TrackObjects_ParentObjectNumber_1500,TrackObjects_TrajectoryX_1500,TrackObjects_TrajectoryY_1500
1,1,0,nan,monochrome,nan,nan,0,nan,0,0,nan,1,1,669,568,161,0,nan,nan,0,17057,170.0,408.0,1.0,1.1512844705604999,0.79515294501609246,1.0,0.6195561367186081,0.68297467130866873,190.84426800474023,187.4459922217597,54.037024344425184,21.049008977548141,19.0,114.82177225899707,115.72966893149987,-39.347951147139511,560.21399999999812,0.94326162694243187,1.5559014263562858,56.992812987416983,0.0033112077508121729,3.0518043786287308e-05,0.22922186382734316,0.0035400930792093277,0.0035553521011024714,0.0033316947031183852,0.0033413151777813791,0.0033417257945984602,0.0032043945975601673,0.0031891355756670237,5.0352554352264134e-05,4.865452868990287e-05,0.0033722438383847475,159.36467476514207,420.14099266832022,0.0,159.57343026323502,420.04631529577301,86.0,467.0,0.0,1,0.0,0.0,nan,0.0,1,1,nan,0.0,0,0.0,0.0
2,1,0,nan,monochrome,nan,nan,1,nan,0,0,nan,1,1,669,568,161,0,nan,nan,1,17750,192.0,400.0,1.0,1.1592078285452072,0.80350400244836717,1.0,0.6481177200861723,0.70767777400075016,196.30887545395856,190.4337155022713,54.120236510939236,21.396812992910611,19.416487838947599,114.2682404223972,116.8625462766849,-33.143313973451647,561.41799999999819,0.94054684188215343,1.5905699240975082,59.9137865123339,0.0033264667727053165,4.5777065679430962e-05,0.35221692102125185,0.003524834057316184,0.0036469062324613333,0.0033415334539863618,0.0033754245922441636,0.0033722438383847475,0.0032349126413464546,0.0031891355756670237,5.071429437695285e-05,6.1817116268079469e-05,0.0034180209040641785,167.69276827668759,417.26182378484384,0.0,168.01639436619718,417.12281690140844,116.0,429.0,0.0,1,8.9347907477321318,8.9347907477321318,nan,8.9347907477321318,1,2,1.0,1.0,1,8.4429641029621507,-2.9234983943645716
3,1,0,nan,monochrome,nan,nan,2,nan,0,0,nan,1,1,669,568,161,0,nan,nan,2,17889,199.0,404.0,1.0,1.1708422443776905,0.79305673270068866,1.0,0.61152702286944927,0.49565269860286149,196.85336441108754,199.44924166313595,52.630789467763066,20.764283042028644,18.788294228055936,120.29564266098298,119.91279005214051,-22.020750707117507,673.45599999999786,0.88393121849985212,1.9179674978367984,60.925764844287187,0.0033417257945984602,6.1036087572574615e-05,0.48750739329202941,0.0036316472105681896,0.0037079423200339079,0.003353090031183214,0.0034057669430536748,0.0034027618821710348,0.003219653619453311,0.0031891355756670237,6.3226721320735774e-05,7.6568273947401808e-05,0.0034637979697436094,175.14006566869617,417.79404849265046,0.0,175.59466711386887,417.61797752808991,123.0,464.0,0.0,1,16.204223354979526,7.5944322950645233,nan,16.529223042796655,1,3,0.9803378726891363,2.0,1,7.57827274767169,0.49516062668146787
4,1,0,nan,monochrome,nan,nan,3,nan,0,0,nan,1,1,669,568,161,0,nan,nan,3,18390,207.0,403.0,1.0,1.1959243360283265,0.81749170442490615,1.0,0.62755937755937752,0.6585397900761627,204.67268932917503,197.25364381932212,53.450912059571067,20.949997951230831,19.104973174542799,119.05431780592964,117.87926502540017,-19.395110193298201,592.38599999999815,0.90595595842159715,1.6986190581228584,63.156511772889644,0.0033569848164916039,7.6295109465718269e-05,0.61644405532802193,0.0036774242762476206,0.0038147554732859135,0.0033702759089739255,0.0034342855776448964,0.0034332799259573221,0.0031891355756670237,0.00317387655377388,7.9580790794877003e-05,9.5919756935499768e-05,0.0034943160135298967,183.07069791894682,418.09524416991508,0.0,183.66829798803698,417.94399129961937,213.0,401.0,0.0,1,24.186409755490921,8.0802104224795706,nan,24.609433465276226,1,4,0.98281050596381303,3.0,1,8.0736308741681171,0.32601377152946043
5,1,0,nan,monochrome,nan,nan,4,nan,0,0,nan,1,1,669,568,161,0,nan,nan,4,18596,211.0,401.0,1.0,1.2301166807480903,0.82750027532689663,1.0,0.62202301311212205,0.66320450869354064,210.03714133553072,202.70421801235415,52.009614495783374,20.752127953925697,19.104973174542799,124.38970030441888,117.92856867156377,-17.756432320324919,593.59599999999807,0.91443745082612082,1.6874799721408635,64.52281985222362,0.0033722438383847475,9.1554131358861923e-05,0.78020069180535767,0.0037537193857133389,0.0039368276484310627,0.0033885140002828584,0.0034697149845248237,0.0034637979697436094,0.0031891355756670237,0.0031891355756670237,0.00010173480932028833,0.00011562070303482475,0.0035553521011024714,192.70699370439135,415.94430889607975,0.0,193.45929232092922,415.7375241987524,266.0,438.0,0.0,1,34.158707939716386,10.036536608508747,nan,34.645970073784973,1,5,0.98593596504785774,4.0,1,9.7909943328922395,-2.2064671008669734
6,1,0,nan,monochrome,nan,nan,5,nan,0,0,nan,1,1,669,568,161,0,nan,nan,5,22258,219.0,401.0,1.0,1.3348147279399003,0.85229909892607936,1.0,0.57098147863116311,0.50290796426387008,243.23453419047789,237.96638418062329,52.630789467763066,20.749624432800616,19.013148795220225,134.05481058786671,127.22497253681688,-25.956235615267602,745.76799999999787,0.84033676898100973,2.1507896538823843,77.686717014526948,0.0033722438383847475,0.00010681315325200558,0.75128795711778884,0.0037384603638201952,0.0040741590782999992,0.0033764358773663802,0.0034902829101683417,0.0034790569916367531,0.003219653619453311,0.0031891355756670237,8.4695621947415012e-05,0.00013304315880902792,0.0035858701448887587,187.03068177601517,424.63446350831276,0.0,187.77428340372001,424.52727109353941,269.0,440.0,0.0,1,28.554633296765306,10.467997748526999,nan,45.11396782231197,1,6,0.63294440004106822,5.0,1,-5.6850089172092169,8.7897468947870152
7,1,0,nan,monochrome,nan,nan,6,nan,0,0,nan,1,1,669,568,161,0,nan,nan,6,57187,97.0,85.0,1.0,1.7597091696623934,0.84975691575619605,4.0,0.50069605568445474,0.037444021084732666,446.79855239563625,467.38421025961071,74.060785845142092,17.282307301892143,12.0,264.0,235.54090121206761,-8.0001662115568433,4380.8900000000567,0.58621767766074673,13.056763558415696,192.58228423073888,0.0033417257945984602,3.0518043786287308e-05,0.06273379294443443,0.0034943160135298967,0.0035553521011024714,0.003363411529730988,0.003367588511912478,0.0033722438383847475,0.003219653619453311,0.0032043945975601673,4.0992550084545992e-05,4.2274811752816511e-05,0.0034027618821710348,175.49300492517162,91.101382550186671,0.0,175.54040253903858,91.142479934250787,11.0,69.0,0.0,1,0.0,0.0,nan,0.0,2,1,nan,0.0,0,0.0,0.0
7,2,0,nan,monochrome,nan,nan,6,nan,0,0,nan,1,1,669,568,161,0,nan,nan,6,1122,518.0,18.0,1.0,4.0440700599833921,0.92604100453578897,1.0,0.22475961538461539,0.12297984572102906,100.43059214552518,92.655275079188016,6.0827625302982193,2.5534938126439219,2.2360679774997898,48.69236132442866,37.904806995911486,-59.336939991919465,338.59799999999956,0.35944257568476695,0.96078431350179017,3.7712367428466678,0.0033264667727053165,3.0518043786287308e-05,0.0030341899183701339,0.0034790569916367531,0.0035095750354230404,0.003359385711544721,0.0033611735675995258,0.0033569848164916039,0.0032501716632395983,0.0032349126413464546,4.0951405557685506e-05,4.2591411292784301e-05,0.0033875028602778912,498.96357648048945,41.19722999983815,0.0,498.96434937611406,41.194295900178254,518.0,12.0,0.0,2,0.0,0.0,1.0,0.0,3,1,nan,0.0,0,0.0,0.0
7,3,0,nan,monochrome,nan,nan,6,nan,0,0,nan,1,1,669,568,161,0,nan,nan,6,20448,189.0,413.0,1.0,1.3052436760992603,0.83512614662440066,1.0,0.47952722667792319,0.38908360653130097,227.96596357998862,218.83555469804261,49.203658400570177,19.328259094316426,17.464249196572979,156.98547413839117,125.39460889136838,-30.073308964974956,812.65999999999792,0.74176990187365111,2.3651178753934801,72.170702670235187,0.0034180209040641785,0.00010681315325200558,0.21914831605038104,0.0036316472105681896,0.0040588998235762119,0.0033595424366384659,0.0035294748958448348,0.003524834057316184,0.0032349126413464546,0.0032043945975601673,5.158653536600911e-05,0.00013416310266598251,0.0036316472105681896,174.33676695459241,423.81691254697023,0.0,174.53614045383412,423.72593896713613,243.0,404.0,0.0,3,15.408514743826345,13.262373917908487,nan,58.376341740220454,1,7,0.26395135913784235,6.0,1,-13.238142949885884,-0.80133212640328111
8,1,0,nan,monochrome,nan,nan,7,nan,0,0,nan,1,1,669,568,161,0,nan,nan,7,70925,132.0,89.0,1.0,1.8199703723338683,0.88621999787370132,3.0,0.45401879448968097,0.041962939253086674,519.02873660578848,571.84788187069466,79.762146410437069,21.899084923625693,16.031219541881399,281.35209157945621,240.44765448010045,-2.8413245534906619,4608.6280000000434,0.57089846579841275,13.663584341062233,238.77821006113663,0.0033417257945984602,3.0518043786287308e-05,0.090284811806481055,0.0035095750354230404,0.0035553521011024714,0.0033604486820123544,0.0033666296801006224,0.0033722438383847475,0.0031891355756670237,0.0031891355756670237,4.1004539867946784e-05,4.230233389736456e-05,0.0033875028602778912,209.46044267982589,102.64405077091294,0.0,209.54384208671132,102.67863235812477,375.0,187.0,0.0,1,35.907056601998001,35.907056601998001,nan,35.907056601998001,2,2,1.0,7.0,1,34.003439547672741,11.536152423873986
